Country;Age_group;Sex;COP;n;x;Prevalence;lower;upper;p_value_Age_group;p_value_Sex
BE;50-59;Males;PT≥100;106;7;6.26;1.31;13.89;;
BE;50-59;Females;PT≥100;146;11;7.43;2.72;14.06;;
BE;50-59;Total;PT≥100;252;18;6.85;3.21;11.62;;0.7868
BE;Total;Males;PT≥100;204;16;7.79;3.6;13.35;0.49344;
BE;Total;Females;PT≥100;300;21;6.65;3.31;10.95;0.71134;
BE;Total;Total;PT≥100;504;37;7.07;4.35;10.37;0.84752;0.70812
DK;40-49;Males;PT≥100;126;8;5.9;1.37;12.7;;
DK;40-49;Females;PT≥100;123;6;3.97;0.07;10.27;;
DK;40-49;Total;PT≥100;249;14;4.86;1.65;9.24;;0.61364
DK;50-59;Males;PT≥100;126;17;15.27;8.38;24.06;;
DK;50-59;Females;PT≥100;116;10;8.89;3.31;16.83;;
DK;50-59;Total;PT≥100;242;27;12.13;7.43;17.9;;0.22514
DK;Total;Males;PT≥100;252;25;10.5;6.16;15.91;0.053900000000000003;
DK;Total;Females;PT≥100;239;16;6.27;2.67;11.05;0.24616;
DK;Total;Total;PT≥100;491;41;8.4;5.46;11.92;0.02566;0.19586
FI;40-49;Males;PT≥100;116;3;0.96;0;6.28;;
FI;40-49;Females;PT≥100;134;2;0;0;3.59;;
FI;40-49;Total;PT≥100;250;5;0.09;0;3.08;;0.40686
FI;50-59;Males;PT≥100;114;2;0;0;4.67;;
FI;50-59;Females;PT≥100;136;2;0;0;3.51;;
FI;50-59;Total;PT≥100;250;4;0;0;2.34;;0.52834
FI;Total;Males;PT≥100;230;5;0.33;0;3.57;0.5538;
FI;Total;Females;PT≥100;270;4;0;0;1.98;0.57742;
FI;Total;Total;PT≥100;500;9;0;0;1.67;0.48908;0.35544
FR;40-49;Males;PT≥100;149;9;5.46;1.35;11.52;;
FR;40-49;Females;PT≥100;150;4;1.03;0;5.6;;
FR;40-49;Total;PT≥100;299;13;3.17;0.6;6.75;;0.15016
FR;50-59;Males;PT≥100;149;14;9.87;4.58;16.93;;
FR;50-59;Females;PT≥100;149;10;6.34;1.97;12.64;;
FR;50-59;Total;PT≥100;298;24;8.04;4.42;12.58;;0.39332
FR;Total;Males;PT≥100;298;23;7.6;4.06;12.07;0.2786;
FR;Total;Females;PT≥100;299;14;3.61;0.93;7.29;0.09726;
FR;Total;Total;PT≥100;597;37;5.56;3.25;8.37;0.0606;0.12348
GR;40-49;Males;PT≥100;0;0;;;;;
GR;40-49;Females;PT≥100;0;0;;;;;
GR;40-49;Total;PT≥100;250;12;3.78;0.85;7.9;;
GR;50-59;Males;PT≥100;0;0;;;;;
GR;50-59;Females;PT≥100;0;0;;;;;
GR;50-59;Total;PT≥100;250;8;1.67;0;5.21;;
GR;Total;Males;PT≥100;0;0;;;;;
GR;Total;Females;PT≥100;0;0;;;;;
GR;Total;Total;PT≥100;501;20;2.67;0.7;5.24;0.36004;
HU;40-49;Males;PT≥100;128;2;0;0;3.88;;
HU;40-49;Females;PT≥100;132;2;0;0;3.69;;
HU;40-49;Total;PT≥100;260;4;0;0;2.15;;0.59232
HU;50-59;Males;PT≥100;137;4;1.38;0;6.36;;
HU;50-59;Females;PT≥100;136;6;3.34;0;9.07;;
HU;50-59;Total;PT≥100;273;10;2.27;0;5.81;;0.52574
HU;Total;Males;PT≥100;265;6;0.43;0;3.45;0.63784;
HU;Total;Females;PT≥100;268;8;1.38;0;4.69;0.19412;
HU;Total;Total;PT≥100;533;14;0.87;0;2.97;0.1603;0.6583
IE;40-49;Males;PT≥100;125;11;9.11;3.63;16.76;;
IE;40-49;Females;PT≥100;125;3;0.7;0;5.66;;
IE;40-49;Total;PT≥100;250;14;4.83;1.63;9.19;;0.02482
IE;50-59;Males;PT≥100;124;6;3.91;0.05;10.17;;
IE;50-59;Females;PT≥100;124;8;6.03;1.43;12.94;;
IE;50-59;Total;PT≥100;249;14;4.86;1.65;9.24;;0.58228
IE;Total;Males;PT≥100;249;17;6.44;2.87;11.15;0.2145;
IE;Total;Females;PT≥100;249;11;3.27;0.48;7.28;0.11868;
IE;Total;Total;PT≥100;499;28;4.8;2.42;7.77;0.42408;0.24534
LV;40-49;Males;PT≥100;132;6;3.52;0;9.42;;
LV;40-49;Females;PT≥100;118;4;2.02;0;7.77;;
LV;40-49;Total;PT≥100;250;10;2.72;0.09;6.57;;0.64586
LV;50-59;Males;PT≥100;124;3;0.73;0;5.73;;
LV;50-59;Females;PT≥100;126;10;7.98;2.83;15.33;;
LV;50-59;Total;PT≥100;250;13;4.3;1.24;8.55;;0.04588
LV;Total;Males;PT≥100;256;9;2.08;0;5.7;0.35242;
LV;Total;Females;PT≥100;244;14;5.01;1.74;9.47;0.12682;
LV;Total;Total;PT≥100;500;23;3.47;1.34;6.2;0.52086;0.2365
LT;40-49;Males;PT≥100;116;7;5.49;0.96;12.51;;
LT;40-49;Females;PT≥100;134;5;2.44;0;7.91;;
LT;40-49;Total;PT≥100;250;12;3.78;0.85;7.9;;0.39272
LT;50-59;Males;PT≥100;94;10;11.58;4.73;21.16;;
LT;50-59;Females;PT≥100;156;10;5.94;1.76;11.98;;
LT;50-59;Total;PT≥100;250;20;7.98;4.1;12.98;;0.23264
LT;Total;Males;PT≥100;210;17;8.12;3.91;13.65;0.22552;
LT;Total;Females;PT≥100;290;15;4.25;1.39;8.14;0.30648;
