Antigen;Country;Age_group;Sex;GMC;lower;upper;p_value_Age_group;p_value_Sex
Dt;NL;50-59;Males;0.0762655073594877;0.06380350445291537;0.09116156961397602;;
Dt;NL;50-59;Females;0.05343450207097499;0.046045536475148016;0.06200918113124998;;
Dt;NL;50-59;Total;0.06183277539770834;0.055112033956709994;0.0693730903923199;;0.0026930051346027053
Dt;NL;Total;Males;0.07852712096489597;0.06903328208862747;0.08932660508765343;0.6457088441485735;
Dt;NL;Total;Females;0.05427199936494125;0.048888566191042246;0.060248236848637074;0.7755585114581057;
Dt;NL;Total;Total;0.06283575514729745;0.057888995194728184;0.06820522815518971;0.6996668749845614;1.2813727686722492e-5
Dt;NO;40-49;Males;;;;;
Dt;NO;40-49;Females;;;;;
Dt;NO;40-49;Total;0.16970390586114295;0.1379430026162714;0.20877764814676122;;
Dt;NO;50-59;Males;;;;;
Dt;NO;50-59;Females;;;;;
Dt;NO;50-59;Total;0.15531462375683197;0.12624674395393182;0.1910752831893135;;
Dt;NO;Total;Males;;;;;
Dt;NO;Total;Females;;;;;
Dt;NO;Total;Total;0.1623499254354256;0.13996140642091456;0.1883197587313586;0.553418761719225;
Dt;PT;40-49;Males;0.13441600481776256;0.10041400222445772;0.17993170226181904;;
Dt;PT;40-49;Females;0.10809597708098773;0.08075191416216587;0.14469923570639012;;
Dt;PT;40-49;Total;0.12053974189494039;0.09793959178579151;0.1483550126273525;;0.3003589415024748
Dt;PT;50-59;Males;0.13644023745914186;0.10192618301892391;0.18264137679374026;;
Dt;PT;50-59;Females;0.09442208381639745;0.0705369821639332;0.12639511414750396;;
Dt;PT;50-59;Total;0.11350317853389084;0.09222232267336297;0.13969471993159144;;0.0802296107570067
Dt;PT;Total;Males;0.13542433908143958;0.10998244248651895;0.16675163054223596;0.9433670867234748;
Dt;PT;Total;Females;0.10102795359778616;0.08204803635347457;0.12439843610863213;0.5203794687120245;
Dt;PT;Total;Total;0.11696855921456255;0.10080836844482458;0.13571932624044994;0.6880348656389694;0.05099764660431857
Dt;RO;40-49;Males;0.0301676877896686;0.022562588684528984;0.040336213157976954;;
Dt;RO;40-49;Females;0.027553575564098803;0.020607478987957246;0.03684097054327555;;
Dt;RO;40-49;Total;0.028831019147903463;0.023444801764159;0.03545466809523238;;0.6653838901493945
Dt;RO;50-59;Males;0.029910139446226034;0.022369966784567968;0.039991853823843945;;
Dt;RO;50-59;Females;0.03041936383098408;0.022750818655667058;0.040672720832016646;;
Dt;RO;50-59;Total;0.030163677064479703;0.024528492233555358;0.037093491331910464;;0.935797058662512
Dt;RO;Total;Males;0.030038637594924346;0.02441553278279444;0.036956791260154866;0.9673667167701937;
Dt;RO;Total;Females;0.028951031759314495;0.02353152211985486;0.03561870055238085;0.6368314021166415;
Dt;RO;Total;Total;0.029489821142509386;0.025430584063272872;0.0341969948017494;0.7620053422615886;0.8052031955101312
Dt;SK;40-49;Males;0.06592527730304787;0.04924875538988985;0.08824877203650036;;
Dt;SK;40-49;Females;0.060187307448771;0.04496226794003306;0.08056782150678633;;
Dt;SK;40-49;Total;0.06299099089301598;0.0511807295856127;0.07752654105969249;;0.6651783721644344
Dt;SK;50-59;Males;0.056226225989895795;0.04200318547837227;0.07526544601467558;;
Dt;SK;50-59;Females;0.04669456130634895;0.03488265991272935;0.06250618677151731;;
Dt;SK;50-59;Total;0.051239232590953365;0.041632323451870935;0.0630629938188528;;0.37733903017989634
Dt;SK;Total;Males;0.06088291665227388;0.04944496627813308;0.07496677253730924;0.44945974361284036;
Dt;SK;Total;Females;0.05301339375601906;0.04305387472690755;0.06527681736794486;0.22768963989523136;
Dt;SK;Total;Total;0.056812058873991565;0.04896299485550456;0.06591937529611766;0.16809726268775554;0.35659238879608
Dt;SI;40-49;Males;0.17093563110866558;0.12724129978162002;0.22963448214271134;;
Dt;SI;40-49;Females;0.18132487888532411;0.13778540224642755;0.2386226056369475;;
